plate_map_name	Batch	allele_set	SourceID	SYMBOL	entry_plate	entry_well	entry_numb	entry_well_id	dest_plate	dest_well	dest_numb	node_type	aa_change	c96	r96	r384	c384	r384_letter	well_position	384ID	allele
B6A4R2_P1	6	4	VarChAMP_controls _OPRM1	OPRM1	VarChAMP_controls			OPRM1_	VarChAMP_Candidate_Scramble_Q1	H02	16	cPC		2	8	15	3	O	O03	15_3	OPRM1_
B6A4R2_P1	6	4	VarChAMP_controls _LPAR1_81134	LPAR1_81134	VarChAMP_controls			LPAR1_81134_	VarChAMP_Candidate_Scramble_Q1	A03	17	cPC		3	1	1	5	A	A05	1_5	LPAR1_81134_
B6A4R2_P1	6	4	VarChAMP_controls _PAK1	PAK1	VarChAMP_controls			PAK1_	VarChAMP_Candidate_Scramble_Q1	B03	18	cPC		3	2	3	5	C	C05	3_5	PAK1_
B6A4R2_P1	6	4	VarChAMP_controls _LPAR1_81091	LPAR1_81091	VarChAMP_controls			LPAR1_81091_	VarChAMP_Candidate_Scramble_Q1	C03	19	cPC		3	3	5	5	E	E05	5_5	LPAR1_81091_
B6A4R2_P1	6	4	VarChAMP_controls _Renilla_	Renilla_	VarChAMP_controls			Renilla__	VarChAMP_Candidate_Scramble_Q1	D03	20	cNC		3	4	7	5	G	G05	7_5	Renilla__
B6A4R2_P1	6	4	VarChAMP_controls _LYN	LYN	VarChAMP_controls			LYN_	VarChAMP_Candidate_Scramble_Q1	E03	21	cPC		3	5	9	5	I	I05	9_5	LYN_
B6A4R2_P1	6	4	VarChAMP_controls _PRKCE	PRKCE	VarChAMP_controls			PRKCE_	VarChAMP_Candidate_Scramble_Q1	F03	22	cPC		3	6	11	5	K	K05	11_5	PRKCE_
B6A4R2_P1	6	4	VarChAMP_controls _TNF	TNF	VarChAMP_controls			TNF_	VarChAMP_Candidate_Scramble_Q1	G03	23	cPC		3	7	13	5	M	M05	13_5	TNF_
B6A4R2_P1	6	4	VarChAMP_controls _BLC2L1	BLC2L1	VarChAMP_controls			BLC2L1_	VarChAMP_Candidate_Scramble_Q1	H03	24	cNC		3	8	15	5	O	O05	15_5	BLC2L1_
B6A4R2_P1	6	4	VarChAMP_controls _OPRM1	OPRM1	VarChAMP_controls			OPRM1_	VarChAMP_Candidate_Scramble_Q1	A04	25	cPC		4	1	1	7	A	A07	1_7	OPRM1_
B6A4R2_P1	6	4	VarChAMP_controls _SGK3	SGK3	VarChAMP_controls			SGK3_	VarChAMP_Candidate_Scramble_Q1	B04	26	cNC		4	2	3	7	C	C07	3_7	SGK3_
B6A4R2_P1	6	4	VarChAMP_controls _ADA	ADA	VarChAMP_controls			ADA_	VarChAMP_Candidate_Scramble_Q1	C04	27	cPC		4	3	5	7	E	E07	5_7	ADA_
B6A4R2_P1	6	4	VarChAMP_controls _CSK	CSK	VarChAMP_controls			CSK_	VarChAMP_Candidate_Scramble_Q1	D04	28	cPC		4	4	7	7	G	G07	7_7	CSK_
B6A4R2_P1	6	4	VarChAMP_controls _PRKCE	PRKCE	VarChAMP_controls			PRKCE_	VarChAMP_Candidate_Scramble_Q1	E04	29	cPC		4	5	9	7	I	I07	9_7	PRKCE_
B6A4R2_P1	6	4	VarChAMP_controls _ZBTB24	ZBTB24	VarChAMP_controls			ZBTB24_	VarChAMP_Candidate_Scramble_Q1	F04	30	cNC		4	6	11	7	K	K07	11_7	ZBTB24_
B6A4R2_P1	6	4	VarChAMP_controls _KCNQ2	KCNQ2	VarChAMP_controls			KCNQ2_	VarChAMP_Candidate_Scramble_Q1	G04	31	cPC		4	7	13	7	M	M07	13_7	KCNQ2_
B6A4R2_P1	6	4	VarChAMP_controls _BLC2L1	BLC2L1	VarChAMP_controls			BLC2L1_	VarChAMP_Candidate_Scramble_Q1	H04	32	cNC		4	8	15	7	O	O07	15_7	BLC2L1_
B6A4R2_P1	6	4	VarChAMP_controls _ALK	ALK	VarChAMP_controls			ALK_	VarChAMP_Candidate_Scramble_Q1	A05	33	cPPC	T1151M	5	1	1	9	A	A09	1_9	ALK_T1151M
B6A4R2_P1	6	4	VarChAMP_controls _PAK1	PAK1	VarChAMP_controls			PAK1_	VarChAMP_Candidate_Scramble_Q1	B05	34	cPC		5	2	3	9	C	C09	3_9	PAK1_
B6A4R2_P1	6	4	VarChAMP_controls _KCNQ2	KCNQ2	VarChAMP_controls			KCNQ2_	VarChAMP_Candidate_Scramble_Q1	C05	35	cPC		5	3	5	9	E	E09	5_9	KCNQ2_
B6A4R2_P1	6	4	VarChAMP_controls _LPAR1_81091	LPAR1_81091	VarChAMP_controls			LPAR1_81091_	VarChAMP_Candidate_Scramble_Q1	D05	36	cPC		5	4	7	9	G	G09	7_9	LPAR1_81091_
B6A4R2_P1	6	4	VarChAMP_controls _LYN	LYN	VarChAMP_controls			LYN_	VarChAMP_Candidate_Scramble_Q1	E05	37	cPC		5	5	9	9	I	I09	9_9	LYN_
B6A4R2_P1	6	4	VarChAMP_controls _Renilla_	Renilla_	VarChAMP_controls			Renilla__	VarChAMP_Candidate_Scramble_Q1	F05	38	cNC		5	6	11	9	K	K09	11_9	Renilla__
B6A4R2_P1	6	4	VarChAMP_controls _TNF	TNF	VarChAMP_controls			TNF_	VarChAMP_Candidate_Scramble_Q1	G05	39	cPC		5	7	13	9	M	M09	13_9	TNF_
B6A4R2_P1	6	4	VarChAMP_controls _BRD4	BRD4	VarChAMP_controls			BRD4_	VarChAMP_Candidate_Scramble_Q1	H05	40	cPC		5	8	15	9	O	O09	15_9	BRD4_
B6A4R2_P1	6	4	VarChAMP_controls _Renilla_	Renilla_	VarChAMP_controls			Renilla__	VarChAMP_Candidate_Scramble_Q1	A06	41	cNC		6	1	1	11	A	A11	1_11	Renilla__
B6A4R2_P1	6	4	VarChAMP_controls _CYP2A6	CYP2A6	VarChAMP_controls			CYP2A6	VarChAMP_Candidate_Scramble_Q1	A08	57	PC		8	1	1	15	A	A15	1_15	CYP2A6_
B6A4R2_P1	6	4	VarChAMP_controls _KRAS	KRAS	VarChAMP_controls			KRAS_	VarChAMP_Candidate_Scramble_Q1	C06	43	cPC		6	3	5	11	E	E11	5_11	KRAS_
B6A4R2_P1	6	4	VarChAMP_controls _CYP2A6	CYP2A6	VarChAMP_controls			CYP2A6	VarChAMP_Candidate_Scramble_Q1	A11	81	PC		11	1	1	21	A	A21	1_21	CYP2A6_
B6A4R2_P1	6	4	VarChAMP_controls _CHRM3	CHRM3	VarChAMP_controls			CHRM3_	VarChAMP_Candidate_Scramble_Q1	E06	45	cPC		6	5	9	11	I	I11	9_11	CHRM3_
B6A4R2_P1	6	4	VarChAMP_controls _TNF	TNF	VarChAMP_controls			TNF_	VarChAMP_Candidate_Scramble_Q1	F06	46	cPC		6	6	11	11	K	K11	11_11	TNF_
B6A4R2_P1	6	4	VarChAMP_controls _Renilla_	Renilla_	VarChAMP_controls			Renilla__	VarChAMP_Candidate_Scramble_Q1	G06	47	cNC		6	7	13	11	M	M11	13_11	Renilla__
B6A4R2_P1	6	4	VarChAMP_controls _LPAR1_81134	LPAR1_81134	VarChAMP_controls			LPAR1_81134_	VarChAMP_Candidate_Scramble_Q1	H06	48	cPC		6	8	15	11	O	O11	15_11	LPAR1_81134_
B6A4R2_P1	6	4	VarChAMP_controls _ZBTB24	ZBTB24	VarChAMP_controls			ZBTB24_	VarChAMP_Candidate_Scramble_Q1	A07	49	cNC		7	1	1	13	A	A13	1_13	ZBTB24_
B6A4R2_P1	6	4	VarChAMP_controls _BLC2L1	BLC2L1	VarChAMP_controls			BLC2L1_	VarChAMP_Candidate_Scramble_Q1	B07	50	cNC		7	2	3	13	C	C13	3_13	BLC2L1_
B6A4R2_P1	6	4	VarChAMP_controls _OPRM1	OPRM1	VarChAMP_controls			OPRM1_	VarChAMP_Candidate_Scramble_Q1	C07	51	cPC		7	3	5	13	E	E13	5_13	OPRM1_
B6A4R2_P1	6	4	VarChAMP_controls _BRD4	BRD4	VarChAMP_controls			BRD4_	VarChAMP_Candidate_Scramble_Q1	D07	52	cPC		7	4	7	13	G	G13	7_13	BRD4_
B6A4R2_P1	6	4	VarChAMP_controls _LPAR1_81091	LPAR1_81091	VarChAMP_controls			LPAR1_81091_	VarChAMP_Candidate_Scramble_Q1	E07	53	cPC		7	5	9	13	I	I13	9_13	LPAR1_81091_
B6A4R2_P1	6	4	VarChAMP_controls _CHRM3	CHRM3	VarChAMP_controls			CHRM3_	VarChAMP_Candidate_Scramble_Q1	F07	54	cPC		7	6	11	13	K	K13	11_13	CHRM3_
B6A4R2_P1	6	4	VarChAMP_controls _PAK1	PAK1	VarChAMP_controls			PAK1_	VarChAMP_Candidate_Scramble_Q1	G07	55	cPC		7	7	13	13	M	M13	13_13	PAK1_
B6A4R2_P1	6	4	VarChAMP_controls _PRKCE	PRKCE	VarChAMP_controls			PRKCE_	VarChAMP_Candidate_Scramble_Q1	H07	56	cPC		7	8	15	13	O	O13	15_13	PRKCE_
B6A4R2_P1	6	4	VarChAMP_controls _CYP2A6	CYP2A6	VarChAMP_controls			CYP2A6	VarChAMP_Candidate_Scramble_Q2	A08	57	PC		8	1	1	16	A	A16	1_16	CYP2A6_
B6A4R2_P1	6	4	VarChAMP_controls _ADA	ADA	VarChAMP_controls			ADA_	VarChAMP_Candidate_Scramble_Q1	B08	58	cPC		8	2	3	15	C	C15	3_15	ADA_
B6A4R2_P1	6	4	VarChAMP_controls _SGK3	SGK3	VarChAMP_controls			SGK3_	VarChAMP_Candidate_Scramble_Q1	C08	59	cNC		8	3	5	15	E	E15	5_15	SGK3_
B6A4R2_P1	6	4	VarChAMP_controls _KCNQ2	KCNQ2	VarChAMP_controls			KCNQ2_	VarChAMP_Candidate_Scramble_Q1	D08	60	cPC		8	4	7	15	G	G15	7_15	KCNQ2_
B6A4R2_P1	6	4	VarChAMP_controls _KRAS	KRAS	VarChAMP_controls			KRAS_	VarChAMP_Candidate_Scramble_Q1	E08	61	cPC		8	5	9	15	I	I15	9_15	KRAS_
B6A4R2_P1	6	4	VarChAMP_controls _CSK	CSK	VarChAMP_controls			CSK_	VarChAMP_Candidate_Scramble_Q1	F08	62	cPC		8	6	11	15	K	K15	11_15	CSK_
B6A4R2_P1	6	4	VarChAMP_controls _GHSR	GHSR	VarChAMP_controls			GHSR_	VarChAMP_Candidate_Scramble_Q1	G08	63	cPC		8	7	13	15	M	M15	13_15	GHSR_
B6A4R2_P1	6	4	VarChAMP_controls _ZBTB24	ZBTB24	VarChAMP_controls			ZBTB24_	VarChAMP_Candidate_Scramble_Q1	H08	64	cNC		8	8	15	15	O	O15	15_15	ZBTB24_
B6A4R2_P1	6	4	VarChAMP_controls _OPRM1	OPRM1	VarChAMP_controls			OPRM1_	VarChAMP_Candidate_Scramble_Q1	A09	65	cPC		9	1	1	17	A	A17	1_17	OPRM1_
B6A4R2_P1	6	4	VarChAMP_controls _CSK	CSK	VarChAMP_controls			CSK_	VarChAMP_Candidate_Scramble_Q1	B09	66	cPC		9	2	3	17	C	C17	3_17	CSK_
B6A4R2_P1	6	4	VarChAMP_controls _SGK3	SGK3	VarChAMP_controls			SGK3_	VarChAMP_Candidate_Scramble_Q1	C09	67	cNC		9	3	5	17	E	E17	5_17	SGK3_
B6A4R2_P1	6	4	VarChAMP_controls _GHSR	GHSR	VarChAMP_controls			GHSR_	VarChAMP_Candidate_Scramble_Q1	D09	68	cPC		9	4	7	17	G	G17	7_17	GHSR_
B6A4R2_P1	6	4	VarChAMP_controls _ALK	ALK	VarChAMP_controls			ALK_	VarChAMP_Candidate_Scramble_Q1	F09	70	cPPC	T1151M	9	6	11	17	K	K17	11_17	ALK_T1151M
B6A4R2_P1	6	4	VarChAMP_controls _GHSR	GHSR	VarChAMP_controls			GHSR_	VarChAMP_Candidate_Scramble_Q1	G09	71	cPC		9	7	13	17	M	M17	13_17	GHSR_
B6A4R2_P1	6	4	VarChAMP_controls _PAK1	PAK1	VarChAMP_controls			PAK1_	VarChAMP_Candidate_Scramble_Q1	B10	74	cPC		10	2	3	19	C	C19	3_19	PAK1_
B6A4R2_P1	6	4	VarChAMP_controls _ZBTB24	ZBTB24	VarChAMP_controls			ZBTB24_	VarChAMP_Candidate_Scramble_Q1	C10	75	cNC		10	3	5	19	E	E19	5_19	ZBTB24_
B6A4R2_P1	6	4	VarChAMP_controls _ALDH2	ALDH2	VarChAMP_controls			ALDH2_	VarChAMP_Candidate_Scramble_Q1	B11	82	cPC		11	2	3	21	C	C21	3_21	ALDH2_
B6A4R2_P1	6	4	VarChAMP_controls _CHRM3	CHRM3	VarChAMP_controls			CHRM3_	VarChAMP_Candidate_Scramble_Q1	E10	77	cPC		10	5	9	19	I	I19	9_19	CHRM3_
B6A4R2_P1	6	4	VarChAMP_controls _LYN	LYN	VarChAMP_controls			LYN_	VarChAMP_Candidate_Scramble_Q1	F10	78	cPC		10	6	11	19	K	K19	11_19	LYN_
B6A4R2_P1	6	4	VarChAMP_controls _CYP2A6	CYP2A6	VarChAMP_controls			CYP2A6	VarChAMP_Candidate_Scramble_Q2	A11	81	PC		11	1	1	22	A	A22	1_22	CYP2A6_
B6A4R2_P1	6	4	VarChAMP_controls _CYP2A6	CYP2A6	VarChAMP_controls			CYP2A6	VarChAMP_Candidate_Scramble_Q3	A08	57	PC		8	1	2	15	B	B15	2_15	CYP2A6_
B6A4R2_P1	6	4	VarChAMP_controls _ALDH2	ALDH2	VarChAMP_controls			ALDH2_	VarChAMP_Candidate_Scramble_Q2	B01	2	cPC		1	2	3	2	C	C02	3_2	ALDH2_
B6A4R2_P1	6	4	VarChAMP_controls _BLC2L1	BLC2L1	VarChAMP_controls			BLC2L1_	VarChAMP_Candidate_Scramble_Q1	C11	83	cNC		11	3	5	21	E	E21	5_21	BLC2L1_
B6A4R2_P1	6	4	VarChAMP_controls _ALDH2	ALDH2	VarChAMP_controls			ALDH2_	VarChAMP_Candidate_Scramble_Q2	B11	82	cPC		11	2	3	22	C	C22	3_22	ALDH2_
B6A4R2_P1	6	4	VarChAMP_controls _ALK	ALK	VarChAMP_controls			ALK_	VarChAMP_Candidate_Scramble_Q1	E11	85	cPPC	T1151M	11	5	9	21	I	I21	9_21	ALK_T1151M
B6A4R2_P1	6	4	VarChAMP_controls _ADA	ADA	VarChAMP_controls			ADA_	VarChAMP_Candidate_Scramble_Q1	F11	86	cPC		11	6	11	21	K	K21	11_21	ADA_
B6A4R2_P1	6	4	VarChAMP_controls _KRAS	KRAS	VarChAMP_controls			KRAS_	VarChAMP_Candidate_Scramble_Q1	G11	87	cPC		11	7	13	21	M	M21	13_21	KRAS_
B6A4R2_P1	6	4	VarChAMP_controls _CYP2A6	CYP2A6	VarChAMP_controls			CYP2A6	VarChAMP_Candidate_Scramble_Q3	A11	81	PC		11	1	2	21	B	B21	2_21	CYP2A6_
B6A4R2_P1	6	4	VarChAMP_controls _SGK3	SGK3	VarChAMP_controls			SGK3_	VarChAMP_Candidate_Scramble_Q1	A12	89	cNC		12	1	1	23	A	A23	1_23	SGK3_
B6A4R2_P1	6	4	VarChAMP_controls _PRKCE	PRKCE	VarChAMP_controls			PRKCE_	VarChAMP_Candidate_Scramble_Q1	B12	90	cPC		12	2	3	23	C	C23	3_23	PRKCE_
B6A4R2_P1	6	4	VarChAMP_controls _CYP2A6	CYP2A6	VarChAMP_controls			CYP2A6	VarChAMP_Candidate_Scramble_Q4	A08	57	PC		8	1	2	16	B	B16	2_16	CYP2A6_
B6A4R2_P1	6	4	VarChAMP_controls _ALK	ALK	VarChAMP_controls			ALK_	VarChAMP_Candidate_Scramble_Q1	D12	92	PC		12	4	7	23	G	G23	7_23	ALK_
B6A4R2_P1	6	4	VarChAMP_controls _BRD4	BRD4	VarChAMP_controls			BRD4_	VarChAMP_Candidate_Scramble_Q1	E12	93	cPC		12	5	9	23	I	I23	9_23	BRD4_
B6A4R2_P1	6	4	VarChAMP_controls _CYP2A6	CYP2A6	VarChAMP_controls			CYP2A6	VarChAMP_Candidate_Scramble_Q4	A11	81	PC		11	1	2	22	B	B22	2_22	CYP2A6_
B6A4R2_P1	6	4	VarChAMP_controls _TNF	TNF	VarChAMP_controls			TNF_	VarChAMP_Candidate_Scramble_Q1	G12	95	cPC		12	7	13	23	M	M23	13_23	TNF_
B6A4R2_P1	6	4	VarChAMP_controls _ALK	ALK	VarChAMP_controls			ALK_	VarChAMP_Candidate_Scramble_Q1	H12	96	PC		12	8	15	23	O	O23	15_23	ALK_
B6A4R2_P1	6	4	VarChAMP_controls _ADA	ADA	VarChAMP_controls			ADA_	VarChAMP_Candidate_Scramble_Q2	A01	1	cPC		1	1	1	2	A	A02	1_2	ADA_
B6A4R2_P1	6	4	VarChAMP_controls _ALDH2	ALDH2	VarChAMP_controls			ALDH2_	VarChAMP_Candidate_Scramble_Q3	B01	2	cPC		1	2	4	1	D	D01	4_1	ALDH2_
B6A4R2_P1	6	4	VarChAMP_controls _BRD4	BRD4	VarChAMP_controls			BRD4_	VarChAMP_Candidate_Scramble_Q2	C01	3	cPC		1	3	5	2	E	E02	5_2	BRD4_
B6A4R2_P1	6	4	VarChAMP_controls _CHRM3	CHRM3	VarChAMP_controls			CHRM3_	VarChAMP_Candidate_Scramble_Q2	D01	4	cPC		1	4	7	2	G	G02	7_2	CHRM3_
B6A4R2_P1	6	4	VarChAMP_controls _ALK	ALK	VarChAMP_controls			ALK_	VarChAMP_Candidate_Scramble_Q2	E01	5	PC		1	5	9	2	I	I02	9_2	ALK_
B6A4R2_P1	6	4	VarChAMP_controls _CSK	CSK	VarChAMP_controls			CSK_	VarChAMP_Candidate_Scramble_Q2	F01	6	cPC		1	6	11	2	K	K02	11_2	CSK_
B6A4R2_P1	6	4	VarChAMP_controls _LPAR1_81134	LPAR1_81134	VarChAMP_controls			LPAR1_81134_	VarChAMP_Candidate_Scramble_Q2	G01	7	cPC		1	7	13	2	M	M02	13_2	LPAR1_81134_
B6A4R2_P1	6	4	VarChAMP_controls _GHSR	GHSR	VarChAMP_controls			GHSR_	VarChAMP_Candidate_Scramble_Q2	H01	8	cPC		1	8	15	2	O	O02	15_2	GHSR_
B6A4R2_P1	6	4	VarChAMP_controls _KCNQ2	KCNQ2	VarChAMP_controls			KCNQ2_	VarChAMP_Candidate_Scramble_Q2	A02	9	cPC		2	1	1	4	A	A04	1_4	KCNQ2_
B6A4R2_P1	6	4	VarChAMP_controls _ALK	ALK	VarChAMP_controls			ALK_	VarChAMP_Candidate_Scramble_Q2	B02	10	PC		2	2	3	4	C	C04	3_4	ALK_
B6A4R2_P1	6	4	VarChAMP_controls _KRAS	KRAS	VarChAMP_controls			KRAS_	VarChAMP_Candidate_Scramble_Q2	C02	11	cPC		2	3	5	4	E	E04	5_4	KRAS_
B6A4R2_P1	6	4	VarChAMP_controls _ALK	ALK	VarChAMP_controls			ALK_	VarChAMP_Candidate_Scramble_Q2	D02	12	cPPC	T1151M	2	4	7	4	G	G04	7_4	ALK_T1151M
B6A4R2_P1	6	4	VarChAMP_controls _LPAR1_81091	LPAR1_81091	VarChAMP_controls			LPAR1_81091_	VarChAMP_Candidate_Scramble_Q2	E02	13	cPC		2	5	9	4	I	I04	9_4	LPAR1_81091_
B6A4R2_P1	6	4	VarChAMP_controls _LPAR1_81134	LPAR1_81134	VarChAMP_controls			LPAR1_81134_	VarChAMP_Candidate_Scramble_Q2	F02	14	cPC		2	6	11	4	K	K04	11_4	LPAR1_81134_
B6A4R2_P1	6	4	VarChAMP_controls _LYN	LYN	VarChAMP_controls			LYN_	VarChAMP_Candidate_Scramble_Q2	G02	15	cPC		2	7	13	4	M	M04	13_4	LYN_
B6A4R2_P1	6	4	VarChAMP_controls _OPRM1	OPRM1	VarChAMP_controls			OPRM1_	VarChAMP_Candidate_Scramble_Q2	H02	16	cPC		2	8	15	4	O	O04	15_4	OPRM1_
B6A4R2_P1	6	4	VarChAMP_controls _LPAR1_81134	LPAR1_81134	VarChAMP_controls			LPAR1_81134_	VarChAMP_Candidate_Scramble_Q2	A03	17	cPC		3	1	1	6	A	A06	1_6	LPAR1_81134_
B6A4R2_P1	6	4	VarChAMP_controls _PAK1	PAK1	VarChAMP_controls			PAK1_	VarChAMP_Candidate_Scramble_Q2	B03	18	cPC		3	2	3	6	C	C06	3_6	PAK1_
B6A4R2_P1	6	4	VarChAMP_controls _LPAR1_81091	LPAR1_81091	VarChAMP_controls			LPAR1_81091_	VarChAMP_Candidate_Scramble_Q2	C03	19	cPC		3	3	5	6	E	E06	5_6	LPAR1_81091_
B6A4R2_P1	6	4	VarChAMP_controls _Renilla_	Renilla_	VarChAMP_controls			Renilla__	VarChAMP_Candidate_Scramble_Q2	D03	20	cNC		3	4	7	6	G	G06	7_6	Renilla__
B6A4R2_P1	6	4	VarChAMP_controls _LYN	LYN	VarChAMP_controls			LYN_	VarChAMP_Candidate_Scramble_Q2	E03	21	cPC		3	5	9	6	I	I06	9_6	LYN_
B6A4R2_P1	6	4	VarChAMP_controls _PRKCE	PRKCE	VarChAMP_controls			PRKCE_	VarChAMP_Candidate_Scramble_Q2	F03	22	cPC		3	6	11	6	K	K06	11_6	PRKCE_
B6A4R2_P1	6	4	VarChAMP_controls _TNF	TNF	VarChAMP_controls			TNF_	VarChAMP_Candidate_Scramble_Q2	G03	23	cPC		3	7	13	6	M	M06	13_6	TNF_
B6A4R2_P1	6	4	VarChAMP_controls _BLC2L1	BLC2L1	VarChAMP_controls			BLC2L1_	VarChAMP_Candidate_Scramble_Q2	H03	24	cNC		3	8	15	6	O	O06	15_6	BLC2L1_
B6A4R2_P1	6	4	VarChAMP_controls _OPRM1	OPRM1	VarChAMP_controls			OPRM1_	VarChAMP_Candidate_Scramble_Q2	A04	25	cPC		4	1	1	8	A	A08	1_8	OPRM1_
B6A4R2_P1	6	4	VarChAMP_controls _SGK3	SGK3	VarChAMP_controls			SGK3_	VarChAMP_Candidate_Scramble_Q2	B04	26	cNC		4	2	3	8	C	C08	3_8	SGK3_
B6A4R2_P1	6	4	VarChAMP_controls _ADA	ADA	VarChAMP_controls			ADA_	VarChAMP_Candidate_Scramble_Q2	C04	27	cPC		4	3	5	8	E	E08	5_8	ADA_
B6A4R2_P1	6	4	VarChAMP_controls _CSK	CSK	VarChAMP_controls			CSK_	VarChAMP_Candidate_Scramble_Q2	D04	28	cPC		4	4	7	8	G	G08	7_8	CSK_
B6A4R2_P1	6	4	VarChAMP_controls _PRKCE	PRKCE	VarChAMP_controls			PRKCE_	VarChAMP_Candidate_Scramble_Q2	E04	29	cPC		4	5	9	8	I	I08	9_8	PRKCE_
B6A4R2_P1	6	4	VarChAMP_controls _ZBTB24	ZBTB24	VarChAMP_controls			ZBTB24_	VarChAMP_Candidate_Scramble_Q2	F04	30	cNC		4	6	11	8	K	K08	11_8	ZBTB24_
B6A4R2_P1	6	4	VarChAMP_controls _KCNQ2	KCNQ2	VarChAMP_controls			KCNQ2_	VarChAMP_Candidate_Scramble_Q2	G04	31	cPC		4	7	13	8	M	M08	13_8	KCNQ2_
B6A4R2_P1	6	4	VarChAMP_controls _BLC2L1	BLC2L1	VarChAMP_controls			BLC2L1_	VarChAMP_Candidate_Scramble_Q2	H04	32	cNC		4	8	15	8	O	O08	15_8	BLC2L1_
B6A4R2_P1	6	4	VarChAMP_controls _ALK	ALK	VarChAMP_controls			ALK_	VarChAMP_Candidate_Scramble_Q2	A05	33	cPPC	T1151M	5	1	1	10	A	A10	1_10	ALK_T1151M
B6A4R2_P1	6	4	VarChAMP_controls _PAK1	PAK1	VarChAMP_controls			PAK1_	VarChAMP_Candidate_Scramble_Q2	B05	34	cPC		5	2	3	10	C	C10	3_10	PAK1_
B6A4R2_P1	6	4	VarChAMP_controls _KCNQ2	KCNQ2	VarChAMP_controls			KCNQ2_	VarChAMP_Candidate_Scramble_Q2	C05	35	cPC		5	3	5	10	E	E10	5_10	KCNQ2_
B6A4R2_P1	6	4	VarChAMP_controls _LPAR1_81091	LPAR1_81091	VarChAMP_controls			LPAR1_81091_	VarChAMP_Candidate_Scramble_Q2	D05	36	cPC		5	4	7	10	G	G10	7_10	LPAR1_81091_
B6A4R2_P1	6	4	VarChAMP_controls _LYN	LYN	VarChAMP_controls			LYN_	VarChAMP_Candidate_Scramble_Q2	E05	37	cPC		5	5	9	10	I	I10	9_10	LYN_
